state_name,total_tests,
New York,43876300,
Florida,28885847,
Texas,25617412,
Illinois,19818296,
Pennsylvania,14368912,
Michigan,13662029,
New Jersey,13549516,
Ohio,12448892,
Minnesota,11907102,
North Carolina,11292284,
Wisconsin,9307916,
Indiana,8450508,
Georgia,8192906,
Virginia,7891217,
Colorado,7629290,
Arizona,7620835,
Louisiana,6535520,
South Carolina,6168755,
Kentucky,4291186,
Utah,4066322,
Oregon,3561694,
Rhode Island,3543677,
Iowa,3475948,
Nevada,3350553,
Kansas,3013097,
Arkansas,2756213,
West Virginia,2717634,
Alaska,2339657,
Oklahoma,2292097,
Delaware,2044279,
Nebraska,2027333,
New Hampshire,1980850,
District of Columbia,1901061,
Vermont,1734864,
North Dakota,1624859,
Idaho,1557768,
Mississippi,1389477,
Montana,1186039,
Puerto Rico,883561,
Wyoming,775789,
South Dakota,626964,
Guam,110012,
U.S. Virgin Islands,64969,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,0
